Title,No. of answers,No. of views,No. of votes,Users,Reputation,Time_stamp,Summary
Variance of number of cycles of length tt in a permutation,2,639,1,probability,"2,490","Nov 30, 2014 at 19:06","We consider a uniform Distribution over all n!n! permutations of {1,…,n}{1,…,n}. 

Now we are interested in the Variance of the number CC of cycles of length tt.

We have $$E[C]={n \choose t} \..."
Is the 00 vector of a linear subspace the same as the 00 of the vector space?,2,40,1,linear-algebra,"6,306","Nov 30, 2014 at 19:04","I'm asking this because I'm trying to prove that Ps(R) is a linear subspace of Pn(R), where

Pn(R)=a0x0+a1x1+⋯+anxn

If Ps(R) is a linear ..."
Prove that AB−BA=I has no solution in Mn×n(R) without using matrix trace,2,629,3,linear-algebra,"2,174","Nov 30, 2014 at 19:04","The title is self-explanatory. Prove that AB−BA=I has no solution in Mn×n(R) without using matrix trace. A,B are both from Mn×n(R) and AB is matrix ..."
Contour Integral Around a Circle of Large Radius,1,390,2,complex-analysis,21,"Nov 30, 2014 at 19:02","I'm given the function 

f(z)=(z2−1)1/2z2+1

where −π<arg(z±1)≤π and the only branch cut required is the section [−1,1] of the real axis.

I'm required, using ..."
Bochner Integral vs. Riemann Integral,1,1k,5,integration,No detail available,"Nov 30, 2014 at 19:01","Disclaimer

This thread is meant to record. See: Answer own Question

Anyway, it is written as problem. Have fun! :)

Reference

This thread is directly related to:
Bochner Integral: Axioms
Bochner ..."
wedge product of projective planes,2,1k,2,general-topology,291,"Nov 30, 2014 at 19:01","If we have the wedge product of the real projective plane RP2∨RP2.

Then how would i use Seifert Van Kampens theorem to compute the fundamental group π1($\mathbb{RP}^2 \..."
Is it possible that L=0 is a partial limit of an?,2,56,1,calculus,"1,173","Nov 30, 2014 at 18:58","Given: limn→∞(anan+1)=1  

Is it possible to say that L=0 is a partial limit of an?
I don't see how we can show such a thing because the limit of an+1 will always be the ..."
sum of chromatic numbers,0,315,1,graph-theory,509,"Nov 30, 2014 at 18:56","How I can prove that in given simple graph G in n vertices:
χ(G)+χ(¯G)≤n+1.
Where χ is chromatic number.

I tried to do like that:

$$\chi(G) \leq \Delta(G) + 1 \;; \;..."
Could someone point me in the right direction for this proof?,1,46,1,number-theory,"1,038","Nov 30, 2014 at 18:53","I need to prove that Q (rational numbers) is countable by applying the function f(m/n)=2m3n with m,n being relatively prime numbers.

I honestly have no idea where to start.  Any pointers ..."
"Examples of unbounded continuous function f:Q∩[0,1]→R",1,1k,-2,continuity,611,"Nov 30, 2014 at 18:52","I want to find examples of unbounded continuous function f:Q∩[0,1]→R
I am thinking 11+n may satisfy but not quite sure.
And if there are I want to see other examples too.
..."
search algorithm BFS?,1,120,0,graph-theory,87,"Nov 30, 2014 at 18:51","So i have a recursive search algorithm here,

..."
Quadratic Equations GRE Quants,2,61,0,algebra-precalculus,1,"Nov 30, 2014 at 18:46","It would be very useful if someone can give me an answer to this question with a proper explanation.

One of the factors of the equation x2+9x+c is (x+11), where c is a constant. Which of ..."
Logarithm derivative of ζ(s),0,160,1,complex-analysis,"3,129","Nov 30, 2014 at 18:44","I have just proved that 

−ζ′(s)ζ(s)=∑plog(p)ps−1 and am aiming to prove that 

$$ -\frac{\zeta'(s)}{\zeta(s)} = \sum\limits_p\frac{\log(p)}{p^s} + h(s) ..."
Help with proof that 1x+1 is continuous at point a=0,1,43,0,functions,209,"Nov 30, 2014 at 18:43",Hello I'm struggling to prove that the function 1x+1 is continuous at the point a=0. (The function has -1 excluded from its domain). I understand for any ε we must pick a δ...
MATLAB Eigenvalues,2,2k,3,matrices,633,"Nov 30, 2014 at 18:32","So I am trying to get matlab to output the correct eigenvalue/eigenvector of a matrix. The matrix is:
01−3−4 

The eigenvalues are:
$\lambda_1 = -1, \..."
Determinant from matrix of logarithms,0,128,2,matrices,876,"Nov 30, 2014 at 18:32","Is there a way to get the determinant Det(M) of a matrix M from the matrix of its logarithms, i.e.

$\Bigg(
\begin{smallmatrix}
\log(M_{00}) & \log(M_{01}) & \ldots \\
\log(M_{10}) &..."
Functions differentiable at the irrationals and not differentiable elsewhere,0,70,0,real-analysis,No detail available,"Nov 30, 2014 at 18:25","I provide here an example of a real function that is differentiable at all reals except at 0 and which has a bounded derivative.

Edit: and which do not have left and right derivatives at 0.

Do ..."
Reference for a nice formula,1,66,0,linear-algebra,"1,433","Nov 30, 2014 at 18:17","In this post, noidentity gives a nice formula for the distance of a vector to a subspace:
d2(p,L)=G(v1,…,vm,p)G(v1,…,vm)
Can anyone give me reference where I can ..."
Integral of 3 variables,3,1k,1,integration,"1,731","Nov 30, 2014 at 18:13","I have to solve the following integral ∫R0∫√R2−z20∫√R2−y2−z20(x2+y2+z2)dxdydz

My idea is to use spherical coordinates, but I have difficulties ..."
Instance where local convergence in measure implies global convergence in measure,1,238,3,measure-theory,313,"Nov 30, 2014 at 18:12","Let (X,A,μ) be a measure space. Let γ⊂L0 and suppose that for each ϵ>0 and ϵ′>0, there exists an A∈A with μ(A)<∞ such ..."
Something I don't understand about Hilbert's grand hotel,1,219,1,elementary-set-theory,343,"Nov 30, 2014 at 18:12","So I want to know if Hilbert's hotel ""story"" holds for this statement:
℘(N)∼℘(N)∖{∅}

So, If the statement wasn't talking ..."
Find Tilted Parabola Equation given vertex and angle,1,16k,3,conic-sections,39,"Nov 30, 2014 at 18:09","How to find the parabola equation like the picture below, given the vertex (xo,yo) and theta orientation? please help. thankyou."
prove ∑xn1+x2n converges,2,357,2,sequences-and-series,611,"Nov 30, 2014 at 18:02","∑xn1+x2n where x>=0
I can show that this diverges when x=1 and it definitely converges when x=0.
However I am having trouble showing it converges otherwise(when x is not $..."
